id,character,keyword,pinyin,description
72,直,Straight,zhí,直接 (zhí jiē) Direct -- 直奔 (zhí bèn) Direct to
73,置,Set Up,zhì,装置 (zhuāng zhì) Device -- 不敢置信 (bù gǎn zhì xìn) Unbelievable
v1p49,p.,p.Tool,,
74,具,Tool,jù,家具 (jiā jù) Furniture -- 具体 (jù tǐ) Specific
75,真,true (adj),zhēn,写真集 (xiě zhēn jí) photo album -- 逼真 (bī zhēn) Lifelike/Realistic -- 天真 (tiān zhēn) Innocent/naive -- 真相 (zhēn xiàng) truth; actual facts
v1p50,p.,p.By one's side,,
76,工,Work (n.),gōng,工资 (gōng zī) Salary -- 人工 (réngōng) Artificial -- 清洁工 (qīng jié gōng) Cleaner
77,左,Left,zuǒ,
78,右,Right,yòu,
79,有,Possess,yǒu,"有意 (yǒu yì) intentional, deliberate -- 含有 (hán yǒu) Contain -- 有勇无谋 (yǒu yǒng wú móu) Brave but not smart -- 有的是 (yǒu de shì) Plenty of -- 拥有 (yōng yǒu) Own -- 有机物质 (yǒu jī wù zhì) Organic matter -- 空有 (kōng yǒu) Have in vain -- 有效 (yǒuxiào) effective"
80,贿,Bribe (n.),huì,
v1p54,p.畐,p.Wealth,,
81,贡,Tribute,gòng,
82,项,Item,xiàng,
83,刀,Sword,dāo,
84,刃,Blade,rèn,
85,切,Cut (v.),qiē,一切 (yī qiè) Everything
86,召,Summon,zhào,召唤 (zhào huàn) summon/conjure
87,昭,Evident,zhāo,
88,则,Rule (n.),zé,规则 (guī zé) Rule
89,副,Vice-,fù,
90,丁,Fourth,dīng,
91,叮,Sting (v.),dīng,
92,可,Can,kě,可怜 (kělián) Pitiful -- 无可挽回 (wú kě wǎn huí) Irretrievable -- 宁可 (nìng kě) Preferably/Would rather -- 可疑 (kě yí) suspicious -- 可靠 (kě kào) reliable
93,哥,Older Brother,gē,
94,顶,Crest,dǐng,顶着 (dǐng zhe) Endure/Hold up
95,乙,Second,yǐ,
96,飞,Fly (v.),fēi,飞毛腿 (fēi máo tuǐ) Fast runner
97,子,Child,zǐ,胆子大 (dǎnzi dà) Brave/courageous -- 兔崽子 (tù zǎi zi) Brat -- 一辈子 (yī bèi zi) all one's life -- 幌子 (huǎng zi) Pretext/cover -- 兜圈子 (dōu quān zi) Go in circles -- 爪子 (zhuǎ zi) claw; talon -- 靶子 (bǎ zi) target (for shooting practice) -- 例子 (lìzi) example -- 放鸽子 (fàng gēzi) to stand someone up
98,孔,Cavity,kǒng,
99,吼,Roar (v.),hǒu,
100,乱,Chaos / Riot,luàn,捣乱 (dǎo luàn) Disrupt
101,了,(-ed),le,差远了 (chà yuǎn le) Far from it -- 饶不了 (ráo bù liǎo) won't forgive
102,女,Woman,nǚ,
103,好,Good,hǎo,幸好 (xìng hǎo) Fortunately -- 友好 (yǒuhǎo) friendly -- 只好 (zhǐhǎo) have no choice but to
104,如,Be like,rú,不如 (bù rú) Not as good as -- 技不如人 (jì bù rú rén) Inferior skills -- 假如 (jiǎ rú) If -- 自如 (zì rú) with ease/fluently -- 长痛不如短痛 (cháng tòng bù rú duǎn tòng) a short pain is better than a long one
105,母,Mother,mǔ,贤妻良母 (xián qī liáng mǔ) Virtuous wife and good mother
106,贯,Pierce,guàn,
107,兄,Elder Brother,xiōng,
108,克,Overcome,kè,克服 (kè fú) Overcome
109,小,Small,xiǎo,缩小 (suōxiǎo) shrink -- 胆小鬼 (dǎn xiǎo guǐ) coward -- 胆小 (dǎnxiǎo) timid
110,少,Few,shǎo,少年 (shào nián) Youth -- 少见 (shǎo jiàn) Rare -- 少爷 (shào ye) young master; son of wealthy family -- 至少 (zhìshǎo) at least
111,吵,Noisy,chǎo,
112,孙,Grandchild,sūn,
113,大,Large,dà,胆子大 (dǎnzi dà) Brave/courageous -- 奇大无比 (qí dà wú bǐ) Extremely large -- 老大 (lǎo dà) Boss/Leader/Head -- 大言不惭 (dàyán bù cán) Boast shamelessly -- 车轮大战 (chē lún dà zhàn) Marathon battle -- 大富翁 (dà fù wēng) Tycoon/rich man -- 骄傲自大 (jiāo ào zì dà) arrogant; conceited -- 大展拳脚 (dà zhǎn quán jiǎo) showcase one's abilities; put skills into full play
114,尖,Tip (n.),jiān,
115,夕,Evening,xī,
116,多,Many,duō,多亏 (duōkuī) Thanks to
117,够,Enough,gòu,足够 (zú gòu) Enough
118,外,Outside,wài,外行 (wài háng) layperson; amateur
119,名,Name (n.),míng,名册 (míng cè) Roster
120,罗,Silk Gauze,luó,
121,厂,Factory,chǎng,
122,厅,Hall,tīng,
123,厉,"Stern （severe, strict)",lì,凌厉 (líng lì) swift and fierce
124,厚,Thick,hòu,
125,石,Stone,shí,陨石 (yǔn shí) Meteorite -- 岩石 (yán shí) Rock
126,砂,Gravel,shā,
127,妙,Wonderful,miào,
128,肖,Resemble,xiào,
129,削,Peel (v.),xuē,
130,光,Ray,guāng,"光秃秃 (guāng tū tū) bare, bald -- 杀光 (shā guāng) Kill all -- 眼光 (yǎn guāng) Vision, insight -- 光线 (guāng xiàn) light ray -- 光圈 (guāng quān) aperture (photography)"
131,太,Overly,tài,欺人太甚 (qī rén tài shèn) Bully excessively
132,省,Economize,shěng,"省去 (shěng qù) omit, save -- 反省 (fǎn xǐng) Reflect"
133,奇,Strange,qí,奇大无比 (qí dà wú bǐ) Extremely large -- 稀奇 (xī qí) Rare -- 奇迹 (qí jì) Miracle
134,川,Stream,chuān,
135,州,State,zhōu,
136,顺,Obey,shùn,"顺眼 (shùn yǎn) Pleasing to the eye -- 顺利 (shùn lì) smoothly; successfully -- 顺便 (shùnbiàn) conveniently, in passing"
137,水,Water,shuǐ,薪水 (xīnshuǐ) salary
138,永,Eternity,yǒng,
139,脉,Blood Vessels,mài,脉搏 (mài bó) Pulse
140,求,Request (v.),qiú,要求 (yāoqiú) Request
141,泉,(water)Spring,quán,泉涌 (quányǒng) Spring out
142,原,Flatlands,yuán,还原 (huányuán) return to the original condition or shape -- 原谅 (yuán liàng) Forgive
143,泳,Swim,yǒng,
144,洲,Continent,zhōu,
145,沼,Marsh,zhǎo,
146,沙,Sand,shā,
147,江,Yangtze,jiāng,
148,汁,Juice,zhī,
149,潮,Tide,cháo,
150,源,Source,yuán,
151,活,Lively,huó,复活 (fù huó) Resurrection -- 不知死活 (bù zhī sǐ huó) Reckless -- 灵活 (líng huó) Flexible/Agile
152,消,Extinguish,xiāo,消耗 (xiāo hào) Consume/Expend -- 消灭 (xiāo miè) Eliminate -- 消遣 (xiāo qiǎn) Amusement/pastime -- 取消 (qǔ xiāo) Cancel -- 消极 (xiāojí) passive; negative
153,河,River,hé,银河系 (yín hé xì) Milky Way Galaxy
154,鱼,Fish,yú,
155,渔,Fishing,yú,
156,湖,Lake,hú,
157,测,Fathom (v.),cè,测量 (cèliáng) Measure -- 推测 (tuī cè) Speculate
158,土,Soil,tǔ,"土气 (tǔ qì) Unfashionable, rustic"
159,均,Equal,jūn,
160,肚,Belly,dù,
161,尘,Dust,chén,灰尘 (huī chén) Dust -- 尘世 (chén shì) Mundane world
162,填,Fill in,tián,
163,吐,Spit (v.),tǔ,
164,压,Pressure (n.),yā,
v1p80,p.圭,p.Bricks,,
165,哇,Waaah!,wa,
166,寸,Chinese inch,cùn,
167,封,Seal (v.),fēng,封印 (fēng yìn) seal (magical)
168,时,Time,shí,"时代 (shí dài) era, age -- 暂时 (zàn shí) Temporary -- 时机 (shí jī) Opportunity/Timing -- 时日 (shí rì) Time"
169,寺,Buddhist temple,sì,
170,火,Fire,huǒ,火暴 (huǒ bào) Fiery
171,灭,Destroy,miè,消灭 (xiāo miè) Eliminate -- 毁灭 (huǐ miè) Destroy
172,灰,Ashes,huī,灰尘 (huī chén) Dust -- 吹灰之力 (chuī huī zhī lì) Effortless -- 灰暗 (huī àn) Gloomy
173,烦,Vexed,fán,添麻烦 (tiān máfan) Add Trouble
174,炎,Inflammation,yán,
175,淡,"Thin, (light, weak) (adj.)",dàn,
176,灯,Lamp,dēng,
177,点,Spot (n.),diǎn,"给点颜色看看 (gěi diǎn yán sè kàn) ""teach someone a lesson""; show one's power"
178,照,"Illuminate, take a picture",zhào,照看 (zhào kàn) Take care of -- 按照 (àn zhào) According to
179,里,Li,lǐ,
180,量,"Quantity, amount",liàng,测量 (cèliáng) Measure -- 饭量 (fàn liàng) Appetite -- 音量 (yīn liàng) Volume -- 商量 (shāng liáng) Discuss -- 较量 (jiào liàng) to compete; to measure strength against
181,埋,Bury,mái,
182,黑,Black,hēi,漆黑 (qī hēi) pitch-dark; complete darkness
183,墨,Black Ink,mò,墨镜 (mò jìng) sunglasses
v1p88,p.冂,p.Hood,,
184,冒,Risk (v.),mào,
185,同,Same,tóng,"同流合污 (tóng liú hé wū) to collude with evil -- 截然不同 (jiérán bùtóng) Completely different -- 同胞 (tóngbāo) Compatriots -- 同归于尽 (tóng guī yú jìn) Mutual destruction -- 相同 (xiāngtóng) same -- 共同 (gòngtóng) common, shared"
186,洞,Cave,dòng,漏洞百出 (lòudòng bǎichū) Full of loopholes
187,丽,Lovely,lì,
188,向,Orientation,xiàng,
189,响,Echo (n.),xiǎng,"影响 (yǐngxiǎng) to influence, impact"
190,尚,Esteem (v.),shàng,
v1p90,p.宀,p.House,,
191,字,Character,zì,
192,守,Guard (v.),shǒu,
193,完,Finish (v.),wán,完美 (wánměi) perfect
194,灾,Disaster,zāi,
195,宣,Proclaim,xuān,
196,宵,Nighttime,xiāo,
197,安,Peaceful,ān,"安装 (ān zhuāng) install, set up -- 安然无恙 (ān rán wú yàng) Safe and sound -- 安逸 (ān yì) Comfortable -- 安全 (ānquán) safety, safe"
198,宴,Banquet,yàn,
199,寄,Mail (v.),jì,寄 (jì) Send
200,富,Wealthy,fù,丰富 (fēng fù) Rich/enrich -- 大富翁 (dà fù wēng) Tycoon/rich man
201,贮,Store up,zhù,
202,木,Tree,mù,木偶 (mù ǒu) Puppet
203,林,Woods,lín,
204,森,Forest,sēn,
205,梦,Dream (n.),mèng,
206,机,Machine,jī,机械 (jī xiè) Machinery/Mechanical -- 时机 (shí jī) Opportunity/Timing -- 趁机 (chènjī) Take the opportunity -- 有机物质 (yǒu jī wù zhì) Organic matter
207,植,Plant (v.),zhí,
208,杏,Apricot,xìng,
209,呆,Dim-witted,dāi,
210,枯,Withered,kū,
211,村,Village,cūn,
212,相,One another,xiāng,相处 (xiāngchǔ) Get Along -- 相扑 (xiàng pū) Sumo -- 识相 (shíxiàng) Sensible -- 真相 (zhēn xiàng) truth; actual facts -- 相比 (xiāngbǐ) compare with -- 相同 (xiāngtóng) same
213,本,Notebook,běn,基本 (jīběn) basically -- 本领 (běnlǐng) Skill -- 本性 (běn xìng) nature; inherent character
214,案,Case,àn,
215,未,Not yet,wèi,未必 (wèibì) Not necessarily -- 未免 (wèi miǎn) Somewhat -- 乳臭未干 (rǔ xiù wèi gān) Wet behind the ears
216,末,Last,mò,末日 (mò rì) Doomsday -- 粉末 (fěn mò) powder
217,沫,Foam,mò,
218,味,Flavor,wèi,意味 (yìwèi) Mean -- 索然无味 (suǒ rán wú wèi) Tasteless
219,妹,Younger sister,mèi,
220,查,Investigate,chá,
221,渣,Sediment,zhā,人渣 (rén zhā) scum
222,染,Dye,rǎn,传染 (chuán rǎn) Infect/Contagious -- 染头发 (rǎn tóu fà) Dye hair
223,李,Plum,lǐ,
224,桌,Table,zhuō,
225,杂,Miscellaneous,zá,复杂 (fùzá) complicated
v1p100,p.艹,p.Flower,,
226,若,As if,ruò,镇定自若 (zhèn dìng zì ruò) Calm and composed
227,草,Grass,cǎo,
228,艺,Technique,yì,武艺 (wǔ yì) martial arts
229,苦,Suffering,kǔ,艰苦卓绝 (jiān kǔ zhuó jué) extremely hard and bitter/arduous -- 刻苦 (kè kǔ) Hardworking/assiduous -- 艰苦 (jiān kǔ) Hardship
230,宽,Wide,kuān,
231,莫,Nobody,mò,非你莫属 (fēi nǐ mò shǔ) It must be you
232,模,Imitate,mó,模糊 (móhu) unclear; vague
233,漠,Desert,mò,
234,墓,Grave,mù,
235,苗,Seedling,miáo,
236,瞄,Aim,miáo,
237,兆,Portent,zhào,
238,桃,Peach,táo,
239,犬,Pooch,quǎn,
240,尤,Remarkable,yóu,尤其 (yóu qí) Especially
241,厌,Detest,yàn,
242,状,State of affairs,zhuàng,
243,妆,Put on makeup,zhuāng,
244,将,General (military rank),jiàng,将军 (jiāngjūn) General -- 兵来将挡 (bīng lái jiàng dǎng) meet force with force; respond appropriately to changes
245,获,Seize,huò,
246,默,Silent,mò,幽默感 (yōu mò gǎn) Sense of humor
247,然,Sort of thing,rán,果然 (guǒ rán) as expected -- 安然无恙 (ān rán wú yàng) Safe and sound -- 截然不同 (jiérán bùtóng) Completely different -- 索然无味 (suǒ rán wú wèi) Tasteless -- 居然 (jū rán) unexpectedly; to one's surprise
v1p111,p.,p.Chatterbox,,
248,哭,Cry (v.),kū,
249,器,Utensil,qì,遥控器 (yáo kòng qì) remote control
250,臭,Stinking,chòu,乳臭未干 (rǔ xiù wèi gān) Wet behind the ears
251,狗,Dog,gǒu,狗粮 (gǒu liáng) dog food
252,牛,Cow,niú,吹牛 (chuī niú) brag
253,特,Special,tè,特别 (tè bié) Special -- 特训 (tè xùn) Special training
254,告,Declare,gào,转告 (zhuǎn gào) Pass on (a message) -- 忠告 (zhōnggào) Advice -- 祷告 (dǎo gào) pray (v.) / prayer (n.)
255,浩,Vast,hào,
256,先,Before,xiān,先进 (xiān jìn) Advanced -- 首先 (shǒu xiān) First
257,洗,Wash (v.),xǐ,
v1p115-1,p.,p.Umbrella,,
258,个,Individual,gè,某个 (mǒu gè) A Certain -- 个性 (gèxìng) personality
v1p115-2,p.,p.Crutches,,
259,介,Introduce,jiè,介绍 (jiè shào) Introduce
260,界,World,jiè,出界 (chū jiè) Out of bounds
261,茶,Tea,chá,
v1p117,p.亼,p.Meeting,,
262,合,Fit (v.),hé,"同流合污 (tóng liú hé wū) to collude with evil -- 会合 (huì hé) Meet/Gather -- 合二为一 (hé èr wéi yī) Merge into one -- 凑合 (còu he) Make do/mediocre -- 合适 (héshì) suitable, appropriate"
263,哈,Ha!,hā,
264,塔,Pagoda,tǎ,
265,王,King,wáng,
266,玉,Jade,yù,
267,宝,Treasure (n.),bǎo,
268,球,Ball,qiú,垒球 (lěiqiú) Softball
269,现,Present (adj.),xiàn,展现 (zhǎn xiàn) Display
270,玩,Play (v.),wán,
271,狂,Crazy,kuáng,狂奔 (kuáng bēn) Run wildly -- 口出狂言 (kǒu chū kuáng yán) Boastful words
272,皇,Emperor,huáng,
273,煌,Resplendent,huáng,
274,呈,Submit,chéng,
275,全,Whole,quán,"周全 (zhōu quán) thorough; thoughtful -- 安全 (ānquán) safety, safe"
276,理,Logic,lǐ,"经理 (jīng lǐ) Manager -- 理想 (lǐxiǎng) ideal, dream -- 讲理 (jiǎnglǐ) reasonable, to be reasonable"
277,主,Lord,zhǔ,班主任 (bānzhǔrèn) head teacher -- 主角 (zhǔ jué) Main character -- 主意 (zhǔ yì) Idea -- 救世主 (jiù shì zhǔ) savior; Messiah (宗教语境)
278,注,Pour,zhù,
279,金,Gold,jīn,奖金 (jiǎng jīn) Prize
280,钟,Bell,zhōng,
281,铜,Copper,tóng,
282,钓,Go fishin’,diào,
283,针,Needle,zhēn,
284,钉,Nail (n.),dīng,
285,铭,Inscription,míng,
286,镇,At ease,zhèn,镇定自若 (zhèn dìng zì ruò) Calm and composed -- 镇 (zhèn) Town
v1p128,p.⻌,p.Road,,
287,道,Way,dào,频道 (pín dào) Channel -- 道服 (dào fú) Martial Arts Uniform -- 头头是道 (tóu tóu shì dào) (explain) logically and systematically; sound convincing
288,达,Reach (v.),dá,
289,远,Distant,yuǎn,差远了 (chà yuǎn le) Far from it
290,适,Suitable,shì,"适宜 (shì yí) Suitable -- 合适 (héshì) suitable, appropriate"
291,过,Cross (v.),guò,放马过来 (fàng mǎ guò lái) Bring it on -- 过瘾 (guòyǐn) Satisfy a craving -- 过程 (guòchéng) process
292,迈,Stride,mài,
293,迅,Speedy,xùn,迅速 (xùn sù) Rapid
294,造,Create,zào,"制造出 (zhìzào chū) Manufacture, create -- 编造 (biān zào) fabricate; make up (a story/lie)"
295,逃,Escape (v.),táo,
296,巡,Patrol (v.),xún,
297,选,Choose,xuǎn,选拔 (xuǎn bá) selection -- 选择 (xuǎn zé) Choose
298,逊,Modest,xùn,
299,逛,Stroll,guàng,
300,车,Car,chē,车轮大战 (chē lún dà zhàn) Marathon battle
301,连,One after another,lián,
302,莲,Lotus,lián,
v1p131,p.刖,p.Butcher,,
303,前,In front,qián,前提 (qián tí) precondition -- 前途 (qián tú) Future
304,剪,Shears,jiǎn,
v1p132,p.俞,p.Slaughterhouse,,
305,输,Transport,shū,认输 (rèn shū) Admit defeat
306,逾,Exceed,yú,
v1p133,p.夂,p.Walking legs,,
307,条,Strip (n.),tiáo,
308,处,Location,chù,相处 (xiāngchǔ) Get Along
309,各,Each,gè,"各式各样 (gè shì gè yàng) various, all kinds"
310,格,Pattern,gé,"资格 (zī gé) Qualification -- 性格 (xìnggé) personality, character"
311,略,Abbreviation,lüè,忽略 (hū lüè) Ignore
312,客,Guest,kè,
313,额,Forehead,é,
314,夏,Summer,xià,
315,洛,L.A.,luò,
316,落,Fall (v.),luò,
317,备,Prepare,bèi,
v1p136,p.,p.Crown,,
318,冗,Superfluous,rǒng,
319,沉,Profound (in water or in thoughts),chén,
320,军,Army,jūn,将军 (jiāngjūn) General -- 冠军 (guàn jūn) Champion -- 亚军 (yà jūn) Runner-up
321,辉,Radiance,huī,
v1p137-1,p.亠,p.Top hat,,
v1p137-2,p.亢,p.Whirlwind,,
322,冠,Crown,guān,冠军 (guàn jūn) Champion
323,坑,Pit (n.),kēng,
324,亩,Chinese acre,mǔ,
325,高,Tall,gāo,一决高下 (yì jué gāo xià) Decide (on) who is superior -- 清高 (qīng gāo) Noble and aloof -- 高明 (gāo míng) skilled; wise; brilliant (often describing methods/people)
326,享,Enjoy,xiǎng,
327,熟,Ripe,shú,熟悉 (shú xī) Familiar
328,亭,Pavilion,tíng,
329,亮,Shiny,liàng,
330,京,Capital,jīng,
331,景,Scenery,jǐng,
332,就,At once (and then... jiù),jiù,早就 (zǎojiù) Already happened earlier
v1p140,p.,p.Lidded crock,,
333,周,Circumference,zhōu,周全 (zhōu quán) thorough; thoughtful
334,士,Soldier,shì,勇士 (yǒng shì) Warrior/Brave person
335,吉,Lucky,jí,
336,壮,Robust,zhuàng,
v1p142,p.,p.Schoolhouse,,
337,学,Study (v.),xué,学者 (xué zhě) Scholar -- 哲学 (zhéxué) philosophy
338,觉,Senses,jué,察觉 (chá jué) Perceive
v1p143,p.,p.Taskmaster,,
339,攻,attack (v.),gōng,进攻 (jìn gōng) Attack
340,敌,Enemy,dí,轻敌 (qīng dí) Underestimate the enemy -- 不敌 (bù dí) Unable to match -- 敌对 (díduì) hostile
341,败,fail (v.),bài,败类 (bài lèi) scoundrel -- 失败 (shībài) to fail / failure
342,故,Deliberately,gù,故障 (gù zhàng) Malfunction
343,救,Rescue (v.),jiù,拯救 (zhěng jiù) Rescue -- 救世主 (jiù shì zhǔ) savior; Messiah (宗教语境)
344,敬,Revere,jìng,
345,敞,Spacious,chǎng,
346,言,Say,yán,大言不惭 (dàyán bù cán) Boast shamelessly -- 口出狂言 (kǒu chū kuáng yán) Boastful words
347,警,Police,jǐng,警惕 (jǐng tì) Vigilant/Alert
348,计,Plan (n.),jì,估计 (gū jì) estimate -- 设计 (shè jì) Design -- 诡计 (guǐ jì) trick/scheme
349,让,"Yield, allow, let (ràng)",ràng,
350,狱,Prison,yù,
351,讨,Condemn,tǎo,
352,训,Instructions,xùn,教训 (jiào xùn) give a lesson，moral -- 训练 (xùn liàn) Training -- 特训 (tè xùn) Special training
353,识,Knowledge,shí,见识 (jiàn shí) enrich one's experience -- 识相 (shíxiàng) Sensible -- 识破 (shí pò) See through
354,话,Talk (n.),huà,"换句话说 (huàn jù huà shuō) in other words -- 对话 (duì huà) Dialogue/conversation -- 丑话 (chǒuhuà) unpleasant words, harsh truth"
355,诗,Poem,shī,
356,语,Language,yǔ,咒语 (zhòu yǔ) incantation/spell -- 救世主 (jiù shì zhǔ) savior; Messiah (宗教语境)
357,调,Tune (n.),diào,"调教 (tiáo jiào) Train -- 协调 (xiétiáo) to coordinate, harmonious"
358,谈,Discuss,tán,无稽之谈 (wújī zhī tán) Nonsense
v1p148,p.弋,p.Arrow,,
359,式,Style,shì,"各式各样 (gè shì gè yàng) various, all kinds"
360,试,Test,shì,面试 (miàn shì) Interview
361,戈,Halberd,gē,
362,战,War,zhàn,车轮大战 (chē lún dà zhàn) Marathon battle -- 挑战 (tiǎo zhàn) challenge; to challenge
363,划,Scratch (v.),huà,指手划脚 (zhǐ shǒu huà jiǎo) Gesticulate/to criticize
364,或,Or,huò,
365,贼,Burglar,zéi,
v1p150-1,p.,p.Thanksgiving,,
366,载,Laden,zài,千载难逢 (qiān zǎi nán féng) Once in a lifetime -- 下载 (xiàzài) to download
v1p150-2,p.戊,p.Parade,,
367,茂,Lush,mào,
368,成,Turn into,chéng,当成 (dàng chéng) to be considered as
369,城,City,chéng,
370,诚,Sincere,chéng,诚实 (chéng shí) Honest
v1p151,p.戌,p.March,,
371,威,Might (n.),wēi,威力 (wēi lì) power/might
372,咸,Salty,xián,
v1p152,p.戋,p.Float,,
373,钱,Coin,qián,赚钱 (zhuàn qián) Make money
374,浅,Shallow,qiǎn,受益匪浅 (shòu yì fěi qiǎn) Benefited greatly
375,贱,Cheap,jiàn,
376,尧,Yao,yáo,
377,烧,Fever,shāo,
378,晓,Dawn,xiǎo,
379,止,Stop (v.) or cease,zhǐ,阻止 (zǔ zhǐ) Prevent -- 静止 (jìng zhǐ) Still/Motionless
380,步,Footstep,bù,一步之遥 (yī bù zhī yáo) A step away
381,涉,Ford,shè,
382,频,Repeatedly,pín,频道 (pín dào) Channel
383,肯,Agree,kěn,
384,企,Look forward to,qǐ,
385,武,Military,wǔ,武艺 (wǔ yì) martial arts -- 比武台 (bǐ wǔ tái) Martial Arts Stage/ tourney platform
386,赋,Levy (n.) - Land tax,fù,
387,正,Correct,zhèng,纯正 (chún zhèng) Pure/ Genuine -- 正义 (zhèng yì) justice; righteousness
388,证,Evidence,zhèng,"保证 (bǎozhèng) to guarantee, assurance"
389,政,Politics,zhèng,
v1p157,p.,p.Mending,,
